Date,IOC,INDUSINDBK,TATASTEEL,NTPC,BPCL
2019-01-01,137.7,1595.6,515.75,148.7,367.2
2019-01-02,137.25,1576.6,493.65,147.0,357.95
2019-01-03,132.65,1560.1,481.25,143.4,352.5
2019-01-04,133.95,1548.2,487.65,145.75,359.45
2019-01-07,133.45,1559.15,485.5,148.6,355.55
2019-01-08,134.0,1577.75,491.35,146.95,351.95
2019-01-09,132.0,1601.75,479.2,146.55,340.05
2019-01-10,129.9,1565.9,480.4,148.1,335.6
2019-01-11,131.2,1515.15,474.2,148.0,337.3
2019-01-14,132.3,1484.05,470.85,145.55,334.95
2019-01-15,134.55,1495.2,475.05,145.8,341.7
2019-01-16,135.8,1526.7,474.55,146.35,347.25
2019-01-17,137.65,1523.0,473.15,144.9,355.2
2019-01-18,137.85,1516.9,470.65,144.3,354.2
2019-01-21,135.65,1507.6,471.7,143.4,351.55
2019-01-22,135.95,1501.6,456.55,142.8,353.8
2019-01-23,136.1,1495.0,464.6,140.75,357.15
2019-01-24,136.8,1490.3,460.75,140.05,353.95
2019-01-25,137.75,1484.9,452.9,138.3,357.45
2019-01-28,138.05,1443.7,445.7,138.6,348.7
2019-01-29,137.35,1461.85,443.8,138.5,344.9
2019-01-30,134.55,1476.1,467.45,138.7,342.7
2019-01-31,136.85,1505.55,476.7,139.7,345.45
2019-02-01,137.2,1515.15,474.7,140.15,341.0
2019-02-04,135.9,1504.65,476.05,137.25,338.55
2019-02-05,133.75,1541.75,464.7,138.05,337.95
2019-02-06,137.85,1526.05,485.1,137.1,339.3
2019-02-07,138.05,1514.95,489.05,135.95,339.4
2019-02-08,133.8,1499.05,468.75,132.05,337.4
2019-02-11,135.85,1511.0,480.7,130.35,333.6
2019-02-12,134.75,1497.2,487.4,133.25,339.3
2019-02-13,129.9,1498.45,484.0,131.1,329.45
2019-02-14,124.65,1517.5,482.55,131.25,315.65
2019-02-15,125.45,1509.5,467.5,136.25,327.85
2019-02-18,124.95,1517.0,465.55,137.45,327.75
2019-02-19,125.6,1480.5,470.95,133.7,335.25
2019-02-20,129.3,1480.8,491.15,137.2,341.1
2019-02-21,131.1,1471.55,498.85,136.45,335.3
2019-02-22,137.2,1462.8,502.3,139.7,344.2
2019-02-25,138.6,1491.2,505.1,140.35,336.05
2019-02-26,142.25,1478.1,503.6,140.55,336.65
2019-02-27,140.9,1476.7,507.1,138.75,330.7
2019-02-28,144.6,1473.85,500.45,141.25,337.55
2019-03-01,148.05,1514.1,507.6,143.0,346.05
2019-03-05,153.65,1541.6,521.75,147.0,362.5
2019-03-06,154.9,1534.85,520.85,148.95,372.7
2019-03-07,150.2,1531.25,521.15,146.2,370.7
2019-03-08,148.7,1518.0,507.85,152.2,367.35
2019-03-11,153.7,1514.6,520.65,151.4,387.05
2019-03-12,154.1,1569.05,525.15,151.25,390.2
2019-03-13,148.75,1636.35,513.75,148.2,389.05
2019-03-14,151.1,1682.7,517.65,153.65,390.3
2019-03-15,157.35,1703.25,515.45,158.05,396.3
2019-03-18,162.8,1719.1,525.2,158.75,405.55
2019-03-19,162.7,1725.2,527.5,134.9,407.8
2019-03-20,159.0,1713.4,513.6,129.25,389.15
2019-03-22,157.05,1698.6,518.4,134.65,378.95
2019-03-25,164.35,1683.55,515.15,135.35,383.7
2019-03-26,161.8,1714.65,519.35,140.8,383.9
2019-03-27,161.45,1804.25,515.8,137.0,378.95
2019-03-28,161.3,1821.1,506.3,135.75,385.85
2019-03-29,162.85,1780.0,521.0,134.7,397.55
2019-04-01,158.7,1743.05,535.15,135.1,391.9
2019-04-02,158.15,1774.55,530.65,135.15,380.5
2019-04-03,153.45,1773.6,535.45,134.8,363.2
2019-04-04,155.2,1736.15,530.65,135.65,354.3
2019-04-05,158.45,1767.95,549.3,134.8,358.1
2019-04-08,152.05,1751.0,549.05,135.55,351.0
2019-04-09,155.4,1767.1,553.05,135.9,356.3
2019-04-10,156.6,1747.45,544.4,134.6,357.75
2019-04-11,157.95,1740.65,535.7,135.95,361.7
2019-04-12,155.35,1736.8,533.65,135.95,361.15
2019-04-15,154.0,1748.9,553.15,136.75,358.4
2019-04-16,155.7,1815.15,553.25,137.55,357.5
2019-04-18,156.1,1764.3,543.1,135.35,362.9
2019-04-22,149.75,1691.0,534.2,136.0,340.1
2019-04-23,149.4,1651.35,523.35,133.65,336.35
2019-04-24,153.8,1699.25,525.25,133.95,349.0
2019-04-25,152.7,1683.45,510.75,132.9,358.25
2019-04-26,152.85,1698.85,545.25,134.1,371.05
2019-04-30,158.05,1606.5,557.2,134.05,379.85
2019-05-02,158.1,1561.3,554.95,133.1,378.45
2019-05-03,156.15,1556.6,547.8,135.45,380.75
2019-05-06,156.7,1528.25,535.95,135.0,390.35
2019-05-07,153.45,1515.8,530.6,134.1,378.85
2019-05-08,152.2,1488.75,522.65,130.8,379.8
2019-05-09,150.6,1476.55,519.15,127.7,368.05
2019-05-10,147.6,1439.9,486.8,127.0,362.95
2019-05-13,142.6,1393.3,472.3,123.55,355.1
2019-05-14,143.6,1432.7,469.55,125.6,358.6
2019-05-15,145.75,1379.0,462.95,123.95,359.55
2019-05-16,151.15,1358.2,469.25,125.75,375.55
2019-05-17,149.6,1373.55,469.45,125.5,376.2
2019-05-20,157.65,1494.65,483.8,129.25,391.8
2019-05-21,153.5,1447.75,472.55,128.6,374.45
2019-05-22,155.45,1518.9,473.0,129.6,384.25
2019-05-23,154.2,1598.75,464.7,129.85,384.35
2019-05-24,156.8,1648.9,484.15,129.15,395.45
2019-05-27,162.2,1612.8,512.55,133.2,402.0
2019-05-28,163.45,1619.65,507.05,132.6,401.95
2019-05-29,160.35,1608.65,493.3,130.9,399.15
2019-05-30,161.95,1586.9,487.95,135.1,407.65
2019-05-31,165.55,1605.35,488.3,133.25,409.35
2019-06-03,169.7,1662.65,497.65,133.1,417.1
2019-06-04,165.35,1638.0,497.65,135.05,408.35
2019-06-06,163.55,1522.65,484.6,136.55,397.05
2019-06-07,163.8,1552.2,482.1,135.15,403.0
2019-06-10,160.65,1551.65,486.05,135.0,389.65
2019-06-11,162.5,1590.6,492.5,135.3,387.0
2019-06-12,162.55,1569.85,505.85,134.4,381.0
2019-06-13,160.7,1488.85,502.55,134.9,388.8
2019-06-14,159.8,1426.8,501.8,132.75,386.5
2019-06-17,155.3,1399.65,473.1,132.25,378.15
2019-06-18,157.65,1409.0,472.3,132.4,385.55
2019-06-19,154.4,1381.35,494.1,134.65,379.35
